"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
2017-12-08,2646.5,2651.5,2644.5,2651,11.5,2651,11304,75239
2017-12-07,2631.4,2639.8,2626.7,2639.7,10.3,2639.5,13211,71392
2017-12-06,2629.1,2634,2620.3,2629.5,0.9,2629.2,7773,69212
2017-12-05,2637,2648.5,2627.4,2628.2,9.9,2628.3,4792,70175
2017-12-04,2659.6,2664.7,2634.1,2638.3,5.7,2638.2,3789,69970
2017-12-01,2641.9,2650.3,2605,2644,4,2643.9,3794,74934
2017-11-30,2625,2658,2622.4,2641.5,22.8,2647.9,6400,73495
2017-11-29,2625.6,2634,2620,2625,0.9,2625.1,5045,72703
2017-11-28,2601,2626.5,2597.9,2625.5,24.2,2626,8896,70177
2017-11-27,2603,2605,2596.9,2601.5,0.8,2601.8,3038,68958
2017-11-24,2594.5,2602.5,2589.5,2600.5,6.4,2601,1397,68915
2017-11-22,2595,2599.9,2593.1,2594.5,1.7,2594.6,4163,67511
2017-11-21,2582.8,2600,2579.5,2596.5,14.2,2596.3,3064,66626
2017-11-20,2574.4,2583.1,2567.8,2582.2,5.8,2582.1,2646,65885
2017-11-17,2582.2,2585.7,2575.1,2576.3,8.7,2576.3,2682,65063
2017-11-16,2564.3,2589,2562.5,2585,19.9,2585,2397,64596
2017-11-15,2572,2572.3,2556.7,2565.3,12.8,2565.1,3273,62906
2017-11-14,2581.3,2581.9,2564.5,2578,4,2577.9,1546,62256
2017-11-13,2581.4,2585.3,2570.5,2581.7,2.3,2581.9,1667,62506
2017-11-10,2582.8,2585.3,2571.6,2580,4.3,2579.6,2473,62378
2017-11-09,2590.9,2594.2,2563.7,2583.7,7,2583.9,3897,61848
2017-11-08,2582.2,2592.2,2580,2591.2,4.1,2590.9,2368,62200
2017-11-07,2588.2,2593.3,2581,2586.5,1.9,2586.8,1004,62325
2017-11-06,2581.3,2590,2575.9,2588.8,6,2588.7,5922,60444
2017-11-03,2577,2585.2,2573.8,2582.5,6,2582.7,1594,59437
2017-11-02,2571.9,2578.2,2563,2576.7,1.9,2576.7,1739,59360
2017-11-01,2573.1,2585,2571.5,2574.7,2.1,2574.8,2289,58792
2017-10-31,2567.2,2575,2567,2572.3,4.4,2572.7,898,58430
2017-10-30,2575,2577,2565.7,2568.5,10.1,2568.3,1787,58917
2017-10-27,2559,2580.5,2557.8,2578.7,16.8,2578.4,3531,59191
2017-10-26,2558.7,2564.7,2555.8,2561.8,3.1,2561.6,5558,59506
2017-10-25,2566.3,2566.3,2541.8,2558.5,8.8,2558.5,4654,60209
2017-10-24,2563.5,2570,2562.7,2567,3.9,2567.3,1200,60125
2017-10-23,2575,2576.9,2561.7,2563.5,10.6,2563.4,1918,58855
2017-10-20,2560.7,2574.2,2559.7,2574,13.5,2574,3414,54389
2017-10-19,2559.6,2561.2,2542.9,2560.8,0.4,2560.5,2871,53940
2017-10-18,2557.6,2561.9,2556.6,2560,3.2,2560.1,1488,53373
2017-10-17,2555.2,2557.5,2552.5,2557.3,0.7,2556.9,870,52984
2017-10-16,2556,2557.5,2551,2556,3.4,2556.2,1156,52099
2017-10-13,2547.8,2555.3,2547.3,2552.5,3.4,2552.8,1123,54089
2017-10-12,2552.1,2553.3,2546.8,2549.5,3.6,2549.4,1109,53599
2017-10-11,2548.4,2553.5,2544.6,2553.3,4.5,2553,3116,51601
2017-10-10,2543.3,2553.2,2543,2548.8,4.7,2548.5,2016,50414
2017-10-09,2543.8,2550.3,2540,2544,1.3,2543.8,767,49966
2017-10-06,2548.6,2549.7,2541.5,2545.3,4.8,2545.1,4308,49402
2017-10-05,2535.7,2550.5,2534.7,2550,13.7,2549.9,2315,48441
2017-10-04,2531.5,2537.9,2529,2536.3,3.4,2536.2,1913,47548
2017-10-03,2526.5,2533.3,2525.5,2533,6.5,2532.8,4547,46572
2017-10-02,2520.6,2527.7,2517.8,2526.5,10.2,2526.3,2283,47294
2017-09-29,2507,2517.7,2505,2517,8.4,2516.1,5173,45749
2017-09-28,2502.8,2508.2,2499.3,2507.7,3.2,2507.7,2733,45241
2017-09-27,2495.1,2509.2,2493.3,2504.5,8.9,2504.5,4000,45679
2017-09-26,2496.1,2501,2492.5,2495.5,1.4,2495.6,1176,45398
2017-09-25,2502.9,2504.1,2485.5,2497,2.4,2497,2132,44704
2017-09-22,2500.4,2500.7,2492.3,2499.5,1.5,2499.4,1366,45108
2017-09-21,2505,2505.9,2496.8,2500.8,4.3,2500.9,2535,43806
2017-09-20,2502.3,2507,2494.8,2505.5,0.5,2505.2,1537,43627
2017-09-19,2502.3,2506,2501,2505,2,2504.7,4065,41536
2017-09-18,2498.2,2505.8,2497.7,2502.7,5.5,2502.7,2294,39765
2017-09-15,NA,NA,NA,NA,NA,2496.83,0,42466
2017-09-14,2492.5,2497.5,2491.5,2496.5,0.2,2496.4,7443,42288
2017-09-13,2492.5,2496.7,2491,2496.5,0.7,2496.6,9990,41797
2017-09-12,2491,2496,2489.8,2496,8.4,2495.9,12647,50120
2017-09-11,2477,2488.2,2476,2487,24.9,2487.5,13334,60520
2017-09-08,2461,2466.3,2458.8,2463.2,3.8,2462.6,13856,66137
2017-09-07,2461,2469,2458,2466.5,0.9,2466.4,8070,67700
2017-09-06,2459.3,2468.7,2456.8,2465.6,5.8,2465.5,4928,69320
2017-09-05,2463,2471,2446,2460.5,14.5,2459.7,3937,69104
2017-09-01,2472,2479.5,2470.7,2475,4.1,2474.2,2113,72006
2017-08-31,2458,2474,2455.3,2469.3,14.3,2470.1,12374,70000
2017-08-30,2446.5,2459.7,2443,2456.2,8.7,2455.8,2916,70873
2017-08-29,2429.3,2448.5,2421.3,2447,3.4,2447.1,1661,71201
2017-08-28,2442.8,2449,2436.4,2443.5,1.2,2443.7,1005,71050
2017-08-25,2442.1,2453.2,2437.6,2443,1.7,2442.5,4024,67703
2017-08-24,2439.3,2448.8,2435,2441,0.7,2440.8,1494,67307
2017-08-23,2453.1,2454.4,2439,2441.5,11.3,2441.5,1289,67113
2017-08-22,2429.4,2454,2427.8,2453.3,24.8,2452.8,1752,65695
2017-08-21,2431.2,2431.2,2416.5,2428,1.2,2428,941,65720
2017-08-18,2425.9,2439,2420,2426.7,2.7,2426.8,5974,63440
2017-08-17,2465.6,2468.1,2424.1,2429.9,38,2429.5,5419,61616
2017-08-16,2464.8,2473.7,2462,2467.5,3.8,2467.5,591,61608
2017-08-15,2463.1,2472.9,2460.3,2463.5,0.2,2463.7,1488,62277
